name,prompt,adj1,adj2,style,mos_quality,std_quality,mos_align,std_align
midjourney_normal_129.jpg,"portrait of a beautiful young woman, HDR lighting",HDR lighting,,,3.867642035,0.197819726,3.597061498,0.519828863
sd1.5_lowcorr_065.jpg,"an environmental concept art, anime style",,,anime style,2.203182133,0.66245011,2.856177525,0.814933094
DALLE2_normal_087.jpg,"a tonalism portrait of a ghost , realistic style",,,realistic style,1.834018423,1.006215574,2.414897168,1.165914841
xl2.2_normal_294.jpg,"anthropomorphic thresher shark in knight armor dropping his sword, long-shot, soft lighting, baroque style",long-shot,soft lighting,baroque style,2.926215464,0.542030647,2.222925965,0.9030852
sd1.5_lowstep_170.jpg,"portrait of butterflies swarming flowers, warm color",warm color,,,3.018173564,0.345599911,2.748735776,0.966422716
sd1.5_highcorr_056.jpg,survival in a winter forest,,,,3.21681531,0.92789275,2.543646764,1.024202385
midjourney_normal_142.jpg,"a biomechanical passion fruit flower, top view",top view,,,3.605176603,0.436461386,2.90198339,1.203525056
DALLE2_normal_261.jpg,"epic vessel cage armor of interdimensional adventurer, warm color, elevation view, sci-fi style",warm color,elevation view,sci-fi style,2.803217798,0.627126511,3.092308057,0.724857985
AttnGAN_normal_222.jpg,"interior of cosmic highway created by the gods, cold color, top view",cold color,top view,,0.970807385,1.059752382,0.653301426,0.533368493
midjourney_lowstep_208.jpg,"french fastfood adventure pixar movie poster , soft lighting, abstract style",soft lighting,,abstract style,1.661520003,0.611957445,2.118609113,1.109787234
sd1.5_normal_199.jpg,"full body portrait of cute girl wearing gown, HDR lighting, baroque style",HDR lighting,,baroque style,2.520123245,0.726454997,2.700983887,1.383554978
AttnGAN_normal_008.jpg,joe biden very happy,,,,1.230273953,0.574807841,0.577911226,0.711439334
sd1.5_lowcorr_089.jpg,"a crocodile in a new york sewer, baroque style",,,baroque style,2.974361596,0.960491703,3.445889779,0.537365214
DALLE2_normal_017.jpg,tragedy of the commons,,,,2.939794687,0.379931977,2.055944631,0.907742704
DALLE2_normal_133.jpg,"a blue abyss underwater concept art, elevation view",elevation view,,,1.106041797,0.90218897,2.470491925,1.245727294
sd1.5_highcorr_266.jpg,"scottish stone cairn inside a glass jar buried in sand, cold color, close-up, sci-fi style",cold color,close-up,sci-fi style,3.002885562,0.513108015,3.116693004,0.514310007
AttnGAN_normal_105.jpg,"a 2 d guitarist character design, anime style",,,anime style,1.045837986,0.595915999,0.85008348,0.864606757
xl2.2_normal_131.jpg,"cute fluffy baby panda lion hybrid , cold color",cold color,,,3.193169444,0.492226457,3.068105197,0.780094379
AttnGAN_normal_142.jpg,"a biomechanical passion fruit flower, top view",top view,,,0.807856712,0.451747229,0.842546938,0.900876161
AttnGAN_normal_121.jpg,"cute green tabby cat made of leaves, cold color",cold color,,,0.8493261,0.471642938,0.470926324,0.469024804
sd1.5_lowstep_274.jpg,"angled photograph of an abandoned train cart during dusk, cold color, soft lighting, baroque style",cold color,soft lighting,baroque style,3.025091285,0.753981654,3.390969755,0.711672205
xl2.2_normal_165.jpg,"a female hand holding a red fresh apple, long-shot",long-shot,,,3.229467639,0.420078448,2.844239553,0.575329421
midjourney_normal_003.jpg,a cosmic universe,,,,2.788955814,0.905640435,3.543429565,0.84557205
sd1.5_lowcorr_201.jpg,"a gummy bear performing at woodstock concert, cold color, sci-fi style",cold color,,sci-fi style,3.074988427,1.006652733,2.706378634,1.112722203
sd1.5_normal_201.jpg,"a gummy bear performing at woodstock concert, cold color, sci-fi style",cold color,,sci-fi style,2.346834335,0.387113778,2.677763969,0.749453132
xl2.2_normal_087.jpg,"a tonalism portrait of a ghost , realistic style",,,realistic style,3.352004521,0.80586692,2.877106534,1.195024311
AttnGAN_normal_115.jpg,"ocean of canvas that catches fire, anime style",,,anime style,1.112671152,0.267555626,1.278288824,0.732760249
midjourney_normal_192.jpg,"beautiful ancient temple in a formal garden, top view, realistic style",top view,,realistic style,3.806813177,0.914128652,3.917578309,0.592072241
midjourney_normal_054.jpg,beautiful white fluffy cat,,,,3.300254995,0.656541545,3.943743533,0.485808144
sd1.5_lowstep_047.jpg,stalin tapdancing on stage,,,,2.625914149,0.66030894,2.719543848,0.396426043
xl2.2_normal_097.jpg,"donald trump playing in the rain, realistic style",,,realistic style,2.509487485,0.655945537,2.719543848,0.552042948
xl2.2_normal_248.jpg,"a redhair beautiful girl wearing brown olive dress, close-up, blurred detail",close-up,blurred detail,,3.352004521,0.587040979,3.848931355,0.486670233
sd1.5_highcorr_085.jpg,"grumpy minions sitting in a bar, anime style",,,anime style,3.150997182,0.940823309,3.387308117,0.31574907
sd1.5_highcorr_280.jpg,"rats in tuxedos drinking champagne in bubbles in the space, top view, blurred detail, anime style",top view,blurred detail,anime style,2.689121932,0.324333813,2.129102676,0.816538284
glide_normal_082.jpg,"lanky young half - orc warrior, realistic style",,,realistic style,0.69922293,0.430660377,0.653301426,0.873003168
midjourney_normal_218.jpg,"a masonic illuminati waiting room with a couch, soft lighting, abstract style",soft lighting,,abstract style,3.361858495,0.76094139,2.885703528,0.452224995
sd1.5_highcorr_119.jpg,"female demon in a medieval dungeon, baroque style",,,baroque style,2.746169865,0.683638054,3.397119887,0.62132166
glide_normal_001.jpg,a tray of sushi,,,,1.177351713,1.051160634,2.397337086,1.610692851
midjourney_normal_189.jpg,"lobster human hybrid in fashion photography, HDR lighting, baroque style",HDR lighting,,baroque style,3.92415533,0.563133388,3.478508951,0.459725325
glide_normal_298.jpg,"photoreal portrait very intricate darkwar hunter wearing a black hoody, hyper detail, soft lighting, abstract style",hyper detail,soft lighting,abstract style,0.319004692,0.263699105,0.564244714,0.673060845
sd1.5_highcorr_239.jpg,"a small grassland nestled in the hollow of a tree, elevation view, long-shot",elevation view,long-shot,,3.289837374,0.349230889,2.77261172,0.570643448
midjourney_normal_154.jpg,"cute fluffy baby poodle giraffe hybrid, close-up",close-up,,,3.989769364,0.58621704,3.548952321,0.852095048
sd1.5_lowcorr_036.jpg,gnome warfare at walmart,,,,3.106014094,0.677009032,1.958245193,1.414878401
AttnGAN_normal_213.jpg,"a biomechanical hibiscus flower made of metal, elevation view, abstract style",elevation view,,abstract style,0.995940844,0.617118913,0.534118347,0.693631902
sd1.5_lowstep_146.jpg,"cute fluffy lion cheetah hybrid mixed, blurred detail",blurred detail,,,3.058356047,0.988298214,3.417300183,1.002016532
xl2.2_normal_295.jpg,"depressed people standing around an hourglass with little sand left, long-shot, HDR lighting, anime style",long-shot,HDR lighting,anime style,3.093635734,0.480556905,3.488890048,0.522171221
glide_normal_210.jpg,"an astronaut meeting an alien lizard humanoid, warm color, anime style",warm color,,anime style,1.030204609,0.225210892,1.474049467,0.583022954
sd1.5_normal_081.jpg,"large purple lovecraftian void, sci-fi style",,,sci-fi style,1.237266363,0.741880859,2.629356055,1.251352555
sd1.5_lowcorr_240.jpg,"photoreal portrait of a futuristic intricate robot, top view, blurred detail",top view,blurred detail,,3.442225929,0.974908203,3.024436368,0.769430872
sd1.5_lowstep_186.jpg,"a portrait of girl alchemist in blue dress, blurred detail, sci-fi style",blurred detail,,sci-fi style,2.938008313,0.527845749,2.865255012,0.806531537
